canonical_code,canonical_name,category_code,default_unit,density_g_per_ml,edible_fraction,allergens_reviewed,storage_profile_code
BUCKWHEAT,Гречневая крупа,grains,g,,,false,
RICE_WHITE,Рис белый длиннозёрный,grains,g,,,false,
RICE_BROWN,Рис бурый длиннозёрный,grains,g,,,false,
OATS_ROLLED,Овсяные хлопья,grains,g,,,false,
MILLET,Просо цельное,grains,g,,,false,
BULGUR,Булгур сухой,grains,g,,,false,
BARLEY_PEARLED,Крупа перловая,grains,g,,,false,
PASTA_DRY,Макаронные изделия сухие,grains,g,,,false,
FLOUR_WHEAT,Мука пшеничная,grains,g,,,false,
FLOUR_WHOLE_WHEAT,Мука цельнозерновая пшеничная,grains,g,,,false,
FLOUR_RYE,Мука ржаная,grains,g,,,false,
CORN_FLOUR,Мука кукурузная,grains,g,,,false,
QUINOA,Киноа сухая,grains,g,,,false,
WILD_RICE,Рис дикий сухой,grains,g,,,false,
SUGAR,Сахар-песок,staples,g,,,false,
LENTILS_DRY,Чечевица сухая,legumes,g,,,false,
CHICKPEAS_DRY,Нут сухой,legumes,g,,,false,
WHITE_BEANS_DRY,Фасоль белая сухая,legumes,g,,,false,
BLACK_EYED_PEAS_DRY,Вигна сухая,legumes,g,,,false,
BLACK_BEANS_CANNED,Фасоль чёрная консервированная,legumes,g,,,false,
GREEN_PEAS_CANNED,Горошек зелёный консервированный,legumes,g,,,false,
PEANUTS_RAW,Арахис сырой,nuts_seeds,g,,,false,
ALMONDS_RAW,Миндаль сырой,nuts_seeds,g,,,false,
WALNUTS_RAW,Орех грецкий сырой,nuts_seeds,g,,,false,
CASHEWS_RAW,Кешью сырой,nuts_seeds,g,,,false,
HAZELNUTS_RAW,Фундук сырой,nuts_seeds,g,,,false,
SUNFLOWER_SEEDS_RAW,Семена подсолнечника сырые,nuts_seeds,g,,,false,
PUMPKIN_SEEDS_RAW,Семена тыквы сырые,nuts_seeds,g,,,false,
CHIA_SEEDS,Семена чиа сухие,nuts_seeds,g,,,false,
FLAXSEED_GROUND,Семена льна молотые,nuts_seeds,g,,,false,
POTATO,Картофель,vegetables,g,,,false,
SWEET_POTATO,Батат,vegetables,g,,,false,
CARROT,Морковь,vegetables,g,,,false,
ONION_YELLOW,Лук репчатый жёлтый,vegetables,g,,,false,
GARLIC,Чеснок,vegetables,g,,,false,
CABBAGE_GREEN,Капуста белокочанная,vegetables,g,,,false,
BROCCOLI,Брокколи,vegetables,g,,,false,
CAULIFLOWER,Капуста цветная,vegetables,g,,,false,
BEET,Свёкла,vegetables,g,,,false,
ZUCCHINI,Цукини,vegetables,g,,,false,
EGGPLANT,Баклажан,vegetables,g,,,false,
TOMATO,Томат,vegetables,g,,,false,
CUCUMBER,Огурец,vegetables,g,,,false,
BELL_PEPPER_RED,Перец сладкий красный,vegetables,g,,,false,
CELERY,Сельдерей стеблевой,vegetables,g,,,false,
SPINACH,Шпинат,vegetables,g,,,false,
KALE,Капуста кейл,vegetables,g,,,false,
LETTUCE_ROMAINE,Салат ромэн,vegetables,g,,,false,
RADISH,Редис,vegetables,g,,,false,
TURNIP,Репа,vegetables,g,,,false,
PARSNIP,Пастернак,vegetables,g,,,false,
CORN_SWEET,Кукуруза сладкая,vegetables,g,,,false,
GREEN_BEANS,Фасоль зелёная стручковая,vegetables,g,,,false,
ASPARAGUS,Спаржа зелёная,vegetables,g,,,false,
